Name, Enterprise, Country, level, research-words, Key-words, date, Link
x Junior C++ Software Engineer, Exocad, Alemanha, junior, C++, application lifecycle/ unit test/ document/ C++11/14/STL/Python/OpenGL/Direct3D/C#/ new features and refactoring code/Python/ C#, 23/08/22,https://www.linkedin.com/jobs/view/3233151332/?alternateChannel=search&refId=dpa0fDo%2B7rAN9yTZMrlOFw%3D%3D&trackingId=5dxmQKru5lNuvI4w84xx%2BQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D&lici=5dxmQKru5lNuvI4w84xx%2BQ%3D%3D
Embedded Software Engineer - Robotics, Arculus, Alemanha, junior, C++, Agile/ hardware-related software/software interface for hardware components/ test benches/ manual and automated tests/ C/C++/ electronic prototypes, 23/08/22, https://www.linkedin.com/jobs/view/3230861910/?alternateChannel=search&refId=dpa0fDo%2B7rAN9yTZMrlOFw%3D%3D&trackingId=bDdte51tDnRp0oMCygLGEw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D&lici=bDdte51tDnRp0oMCygLGEw%3D%3D
x C/C++ Software Engineer, Mattson Technology, Alemanha, junior, C++, develop software components including tests and documentation/C/C++ in the Linux environment/ embedded software/Qt/SPS Codesys/EtherCat/VxWorks/QNX/C#/Matlab/SEMI standards, 23/08/22, https://www.linkedin.com/jobs/view/3225938561/?alternateChannel=search&refId=dpa0fDo%2B7rAN9yTZMrlOFw%3D%3D&trackingId=i6P8p7v59WfLejdIR%2B%2B7%2Fw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
x Regular C++ Software developer,Luxoft,Alemanha, junior, C++,software inside a vehicle/middleware software components/automotive SW development/ vehicle clock/time sync management/logging of data/JTAG/CPU/RAM/Flash quota management/ASIL requirements/QNX operating system/C/C++/Python/Git/bash scripting/Docker/Scrum/Linux/Adaptive Autosar,23/08/22,https://www.linkedin.com/jobs/view/3223808100/?alternateChannel=search&refId=dpa0fDo%2B7rAN9yTZMrlOFw%3D%3D&trackingId=8F%2BuSGNagUaOF412dYCRnA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
Software Tools Developer,TTTech Auto,Alemanha , junior, C++, Software in the Loop/agile /software life cycle/CI/CV solution/Simulation/Matlab/Simulink/ADFT/C/C++/Python/OOP and design/Virtualization/AUTOSAR,23/08/22, https://www.linkedin.com/jobs/view/3235162542/?alternateChannel=search&refId=dpa0fDo%2B7rAN9yTZMrlOFw%3D%3D&trackingId=bjeyq2%2BDhwPaZxYVHdD3Lw%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
Automotive Softwareentwickler C++/Python,Bertrandt Group, Alemanha, junior, C++,autonomous driving/camera-based driver/C++/Python/Qt/Git/Linux, 23/08/22, https://www.linkedin.com/jobs/view/3218512482/?alternateChannel=search&refId=dpa0fDo%2B7rAN9yTZMrlOFw%3D%3D&trackingId=CTZDRAL2suT7B4lntWpXWQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BQskujWOoR%2Bi4U%2Fm%2BqnOvqA%3D%3D
C++ Software Tool Developer,Valeo,Chéquia, junior, C++, SIL/MIL/HIL/documentation/Software Design/system test/C++ for software tools/Automotive bus systems/ CAN/Flexray/software development process/version control,23/08/22, https://www.linkedin.com/jobs/view/3037915075/?alternateChannel=search&refId=UOgGMn8Bk4qKO68K5KcIMg%3D%3D&trackingId=voCc33awg1KyqdbGGyLZOQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3Be4TD03e6TCCXOQD%2BZFDw6w%3D%3D&lici=voCc33awg1KyqdbGGyLZOQ%3D%3D
SW Tool Developer C++ in VISION SYSTEMS,Valeo,Chéquia, junior, C++, Advanced Driver Assistance Systems/Software-In-Loop/Hardware-In-Loop/OpenCL/NVIDIA CUDA/Qt/Linux/automotive communication protocols/ C++,23/08/22, https://www.linkedin.com/jobs/view/3205440797/?alternateChannel=search&refId=PAAc2RdEESwNx5ASY1egUw%3D%3D&trackingId=sJSmFwbYI4kGPTskn%2FEcpg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BGZejBexZSYS%2FadVE3tG7dw%3D%3D&lici=sJSmFwbYI4kGPTskn%2FEcpg%3D%3D
Ingénieur en Développement C/C++ Qt, Apside, França, junior, C++, Object-Oriented Design/C/C++/software and hardware security/Mantis/RedMine/GIT/Qt/Databases ORACLE/Linux/embedded environment,23/08/22, https://www.linkedin.com/jobs/view/3230865793/?alternateChannel=search&refId=8pqomMnpvF7hv%2FIyhchhiA%3D%3D&trackingId=ZuuQidvPG%2BSJ%2BUrK8gDYSg%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BGZejBexZSYS%2FadVE3tG7dw%3D%3D&lici=ZuuQidvPG%2BSJ%2BUrK8gDYSg%3D%3D
Développeur C++, Huxley, França, junior, C++, C / C ++/Python/Java/Agile/Linux Redhat 5/6/7/PostgreSQL/Testlink/ Quality Center/ JIRA/Mantis/ Ingenico, 23/08/22, https://www.linkedin.com/jobs/view/3227082114/?alternateChannel=search&refId=8pqomMnpvF7hv%2FIyhchhiA%3D%3D&trackingId=wT9l6ups2vLpmisX9hNRxQ%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BGZejBexZSYS%2FadVE3tG7dw%3D%3D&lici=wT9l6ups2vLpmisX9hNRxQ%3D%3D
